title,image,link
不敵歐洲王者 G2！《英雄聯盟》MSI  PCS 代表隊 PSG 遭到淘汰,https://p2.bahamut.com.tw/S/2KU/61/62860ac8c7f41ccdd9956c599d1pxd95.JPG,//gnn.gamer.com.tw/detail.php?sn=267627
【電玩瘋】手機週報《湮滅：邊界線》、《神隱之子》與《骰子地下城+》等遊戲,https://p2.bahamut.com.tw/S/2KU/41/fd9f4af0aa177aaf94448091761pvvx5.PNG,//gnn.gamer.com.tw/detail.php?sn=267626
《天堂 W》直播揭曉全新特有職業「魔鬥士」、職業地監「水晶洞穴」等改版最新情報,https://p2.bahamut.com.tw/S/2KU/64/ab62ad0b2536b94d1822f1b4ae1pxak5.JPG,//gnn.gamer.com.tw/detail.php?sn=267624
BANDAI SPIRITS 將推出全長約 105cm 的「PROPLICA 薩爾達傳說 大師之劍」,https://p2.bahamut.com.tw/S/2KU/41/4de208b5ffd640137721ca7e341px755.JPG,//gnn.gamer.com.tw/detail.php?sn=267614
微軟 Xbox 總裁莎拉·邦德透露將在 7 月推出手機遊戲商店 帶來《Candy Crush》等體驗,https://p2.bahamut.com.tw/S/2KU/27/26b83622a588c7a050096a66701px175.JPG,//gnn.gamer.com.tw/detail.php?sn=267597
【電玩瘋】700 集 Switch 新主機將發表、微軟大砍 Betheada 旗下工作室等遊戲情報,https://p2.bahamut.com.tw/S/2KU/66/295a57fdac242a2bf3c8cc817b1pxam5.JPG,//gnn.gamer.com.tw/detail.php?sn=267625
《暗喻幻想：ReFantazio》介紹代步工具「鐵戰駒」與旅行歇腳處等各種設施,https://p2.bahamut.com.tw/S/2KU/15/300e5c7a06ccc850ed90f560ba1px3n5.JPG,//gnn.gamer.com.tw/detail.php?sn=267605
《Peridot》系列新作《哈囉，花寶》今日推出 體驗混合實境的奇幻世界,https://p2.bahamut.com.tw/S/2KU/19/648b3c016f7691f16c5efff5951px0z5.PNG,//gnn.gamer.com.tw/detail.php?sn=267617
微軟 Xbox 總裁表示關閉旗下工作室是為了 “履行對旗下遊戲、裝置與服務的承諾”,https://p2.bahamut.com.tw/S/2KU/13/a457529005bc55d10f1811ed451px6d5.WEBP,//gnn.gamer.com.tw/detail.php?sn=267613
像素風冒險新作《動物井》上市 扮演神秘生物探索地底迷城,https://p2.bahamut.com.tw/S/2KU/05/ddaba6d03a8bbe8809f13a953b1px655.JPG,//gnn.gamer.com.tw/detail.php?sn=267610
動畫《2.5 次元的誘惑》公開第二波主視覺圖 第一季度主題曲情報同步曝光,https://p2.bahamut.com.tw/S/2KU/03/5895a5da05318e2765dbcd3c421px635.JPG,//gnn.gamer.com.tw/detail.php?sn=267608
《血咒之城：暗夜儀式》加入新遊戲模式及造型 DLC　挑戰充滿惡魔的隨機房間,https://p2.bahamut.com.tw/S/2KU/95/22ff57e5cdbd86a1afa1b38d7a1pwur5.JPG,//gnn.gamer.com.tw/detail.php?sn=267606
任天堂新作《Nintendo World Championships Famicom 世界大會》在台發售資訊揭曉,https://p2.bahamut.com.tw/S/2KU/01/375c818eaab57f9e0f9dd4b0321px395.JPG,//gnn.gamer.com.tw/detail.php?sn=267603
【GC 24】珍艾碧絲新作《赤血沙漠》預定在 Gamescom 開放試玩,https://p2.bahamut.com.tw/S/2KU/00/a83db369e5a9a59c2ff156cd151px385.JPG,//gnn.gamer.com.tw/detail.php?sn=267602
PAC-MAN 大逃殺遊戲《吃豆人 無盡地道爭豆 暴食沒有極限》現已發售,https://p2.bahamut.com.tw/S/2KU/79/b2b036ad8819c86aa581a82cea1px2n5.PNG,//gnn.gamer.com.tw/detail.php?sn=267600
《真‧女神轉生 V Vengeance》介紹新惡魔、新迷宮、強化主人公與仲魔等情報,https://p2.bahamut.com.tw/S/2KU/14/977bb26bcc000b98583f6130751px0u5.JPG,//gnn.gamer.com.tw/detail.php?sn=267595
國產 BL 遊戲《Voice Love on Air》Switch 實體中文版特典情報公開,https://p2.bahamut.com.tw/S/2KU/09/221a8afa9256e59f148bef80f81px0p5.JPG,//gnn.gamer.com.tw/detail.php?sn=267593
《洶湧海豚 DolphinWave》繁中版事前預約「海豚祭典」開跑 釋出參賽企業及選手資訊,https://p2.bahamut.com.tw/S/2KU/11/623eded34a6e184c288c93d94a1px0r5.JPG,//gnn.gamer.com.tw/detail.php?sn=267591
《英雄聯盟》2024 MSI 分組賽 T1 與 G2 之戰今天傍晚登場  Caps：「我們將從灰燼中重生」,https://p2.bahamut.com.tw/S/2KU/07/be196e81d75dc51e19a5e673221px0n5.JPG,//gnn.gamer.com.tw/detail.php?sn=267589
《出發吧麥芬》×《線條小狗 Maltese》5/15 聯動登場 搶先公布合作時裝、麥樂獸等內容,https://p2.bahamut.com.tw/S/2KU/50/50d9f7b3d9c91bec25c6033b761pwz25.JPG,//gnn.gamer.com.tw/detail.php?sn=267588
新款 iPad Pro 廣告影片「Crush！」引發熱烈議論  Apple 行銷副總裁為此道歉,https://p2.bahamut.com.tw/S/2KU/06/02da92eb6fc7c6ced4670f03001pwv25.JPG,//gnn.gamer.com.tw/detail.php?sn=267578
《英雄傳說 閃之軌跡：北方戰役》國際版事前登錄突破 50 萬 釋出地城解謎等玩法介紹,https://p2.bahamut.com.tw/S/2KU/72/59d6eabcf327855bcb4ae388be1pwu45.JPG,//gnn.gamer.com.tw/detail.php?sn=267575
華納兄弟將推《魔戒》系列新作電影 目前預定 2026 年上映 將探索目前仍未被挖掘的故事,https://p2.bahamut.com.tw/S/2KU/58/ea1af99ba1e37a654450beb55e1pwtq5.JPG,//gnn.gamer.com.tw/detail.php?sn=267574
Netflix 攜手 Roblox 推出 Nextworld 數位主題樂園 收錄《航海王》《怪奇物語》等熱門作品,https://p2.bahamut.com.tw/S/2KU/09/89866aaffcc74bdd67c6fc70d21pwsd5.JPG,//gnn.gamer.com.tw/detail.php?sn=267572
與機器女孩的戀愛喜劇《快藏好！瑪奇娜同學！！》將於 2025 年推出電視動畫,https://p2.bahamut.com.tw/S/2KU/01/653313e7bbaac166af5a93368f1pws55.JPG,//gnn.gamer.com.tw/detail.php?sn=267571
【模型】超合金打造冰棒？！萬代與井村屋攜手合作「超合金 紅豆冰棒」企劃進行中,https://p2.bahamut.com.tw/S/2KU/22/b25fba42d67398d5af00755d4f1pwpy5.JPG,//gnn.gamer.com.tw/detail.php?sn=267568
華義國際宣布取得《妖界黃昏 - 妖怪皇帝與終焉的夜叉姬》代理權 將於 6/1 舉行發表會,https://p2.bahamut.com.tw/S/2KU/67/e0df3b5eb0997eaa31ec3911741pwwr5.PNG,//gnn.gamer.com.tw/detail.php?sn=267579
益智消除遊戲《BT21 POP STAR》宣布將於 7/8 終止服務,https://p2.bahamut.com.tw/S/2KU/76/0dbe426ac787cb5045f20aab7f1pwu85.JPG,//gnn.gamer.com.tw/detail.php?sn=267576
《地獄之刃 2：賽奴雅的傳奇》首發登陸 Game Pass！《星空》大型更新即將推出,https://p2.bahamut.com.tw/S/2KU/11/b629c802bca55427b5092fd31a1px935.JPG,//gnn.gamer.com.tw/detail.php?sn=267622
浪漫實境秀製作遊戲《戀愛滿屋》釋出最新介紹影片 創意總監親自解說,https://p2.bahamut.com.tw/S/2KU/08/21e11c6c566206a77620de2b531px905.JPG,//gnn.gamer.com.tw/detail.php?sn=267620
太空殖民模擬經營遊戲《幻想地球》正式登陸 PS4 / PS5 平台,https://p2.bahamut.com.tw/S/2KU/92/b30cae84f2cf571927d6e662071px305.JPG,//gnn.gamer.com.tw/detail.php?sn=267601
【漫博 24】青文將邀《破曉之歌》ユノイチカ、《伴侶未滿的我們》あらた六花舉辦簽名會,https://p2.bahamut.com.tw/S/2KU/86/4a8e932fcbe21b69487d47a2451pwui5.JPG,//gnn.gamer.com.tw/detail.php?sn=267577
紺野アキラ《庫吉馬唱歌的家》宣布將推出動畫作品,https://p2.bahamut.com.tw/S/2KU/37/f8c9cd86c4ab79ef8717f5fe8d1pwqd5.JPG,//gnn.gamer.com.tw/detail.php?sn=267570
《魔獸世界：經典版》開放限時免費遊玩 揭開玩家活動「2024 黑龍祭」內容與報名資訊,https://p2.bahamut.com.tw/S/2KU/10/332f4eb9c88f99080b67561c391px925.JPG,//gnn.gamer.com.tw/detail.php?sn=267621
《逆水寒》公開第三波宣傳影片 強調投入超過 30 億台幣打造光影美學,https://p2.bahamut.com.tw/S/2KU/08/584aa5cfeed6fe511b7e016c5a1px3g5.JPG,//gnn.gamer.com.tw/detail.php?sn=267604
【模型】MegaHouse Lucrea《女神異聞錄 5 皇家版》THE ROYAL NAVI（佐倉双葉）10 月上市,https://p2.bahamut.com.tw/S/2KU/13/60f7cd5803fb52d82a1fbfa3271px0t5.JPG,//gnn.gamer.com.tw/detail.php?sn=267594
與蘇打綠「一起來玩 Nintendo Switch！」影片公開「大家一起動起來」篇,https://p2.bahamut.com.tw/S/2KU/12/63cc1a0a93a9a72017ca7b2ed61px945.JPG,//gnn.gamer.com.tw/detail.php?sn=267623
《全軍破敵：法老》宣布將更新免費戰役地圖 以全新文明、單位與機制稱霸青銅時代,https://p2.bahamut.com.tw/S/2KU/07/60e160cd4789c452524a1a2dcf1px8z5.JPG,//gnn.gamer.com.tw/detail.php?sn=267619
2024「Lexus 小小遊戲設計師活動」開放限量報名 透過《Roblox》開啟遊戲設計,https://p2.bahamut.com.tw/S/2KU/78/2dac5e7a4144c59228430bb95b1px2m5.JPG,//gnn.gamer.com.tw/detail.php?sn=267618
 Disney+ 星戰影集《侍者》6/5 上線 首度公開獨家幕後訪談,https://p2.bahamut.com.tw/S/2KU/57/a51b9395315f2cf37d248fba251px7l5.JPG,//gnn.gamer.com.tw/detail.php?sn=267616
動畫電影《八戒：決戰未來》開放「新世界」登錄活動 限量電影書卡登場,https://p2.bahamut.com.tw/S/2KU/51/b45bab51fe75db30831bcec2c71px7f5.JPG,//gnn.gamer.com.tw/detail.php?sn=267615
曜越 GR500 賽車模擬器與三螢幕賽車支架今日推出,https://p2.bahamut.com.tw/S/2KU/11/209ed05f6188bdc7bd8a48b95d1px6b5.JPG,//gnn.gamer.com.tw/detail.php?sn=267612
《魔獸世界：地心之戰》Alpha 測試第 4 週 開放土靈開場任務線、礦運深谷 PVP 戰場等,https://p2.bahamut.com.tw/S/2KU/06/4eaf138df040a3a197fce00e701px665.JPG,//gnn.gamer.com.tw/detail.php?sn=267611
《帝國神話》搶先曝光「希臘文明」DLC 高級武器鍛造台及武器原畫,https://p2.bahamut.com.tw/S/2KU/11/415dc965244322a44ddd20caa41pwxz5.JPG,//gnn.gamer.com.tw/detail.php?sn=267609
