season,title,subTitle,typeOf,label,date,time,day,poster,studio,director
202404,GIRLSBANDCRY,ガールズバンドクライ,原创动画,音乐/摇滚/乐队,4/5,周五深夜,5,https://i0.hdslb.com/bfs/new_dyn/19a4de9cdaa68a2136af784f87dfabab512995925.jpg,东映动画,酒井和男/郑载薰
202404,竞轮少女,リンカイ！/RINKAI!,原创动画,运动/竞技/热血,4/9,周二深夜,2,https://i0.hdslb.com/bfs/new_dyn/73f31347f2897f291d9e633acd1a738c512995925.jpg,TMS娱乐,石山贵明
202404,极速星舞,HIGHSPEEDEtoile,原创动画,赛车/竞技/超级方程式,4/5,周五深夜,5,http://i0.hdslb.com/bfs/new_dyn/65acf84f76d5695b5cc220b130d1865b512995925.jpg,Studio A-CAT,元永庆太郎
202404,终末列车去哪里,終末トレインどこへいく？,原创动画,电车/异变/公路,4/1,周一晚间,1,https://i0.hdslb.com/bfs/new_dyn/f70c6c572e6a9409279576b979f10ef9512995925.jpg,EMT Squared,水岛努/菅沼芙实彦/西田亚沙子
202404,夜晚的水母不会游泳,夜のクラゲは泳げない,原创动画,涩谷/群像/创作,4/6,周六深夜,6,http://i0.hdslb.com/bfs/new_dyn/81abc7dd9bbec1a9d49f0953d0059131512995925.jpg,动画工房,竹下良平
202404,外星笔记,アストロノオト/ASTRONOTE,原创动画,科幻/恋爱/喜剧,4/5,周五晚间,5,http://i0.hdslb.com/bfs/new_dyn/15be0594df962112322673aac0162b4f512995925.jpg,Telecom,高松信司/春日森春木/Aoki Maho
202404,秘密的偶像公主,ひみつのアイプリ,原创动画,音乐/偶像/变身,4/7,周日上午,0,https://i0.hdslb.com/bfs/new_dyn/f37c7a540370d19f44ed64cc62549692512995925.jpg,,藤咲淳一/柳川智
202404,新干线变形机器人改变世界,シンカリオンチェンジザワールド,原创动画,科幻/机战,4/7,周日早间,0,http://i0.hdslb.com/bfs/new_dyn/192f0ae9bdad870aa8f521aa57bd68b0512995925.jpg,,驹屋健一郎
202404,鬼灭之刃第4期柱训练篇,鬼滅の刃柱稽古編,漫画改编动画,奇幻/冒险/战斗,5/12,周日深夜,0,http://i0.hdslb.com/bfs/new_dyn/9863ae47c5d1b35f45e94934f8a64f72512995925.jpg,ufotable,外崎春雄/松岛晃
202404,黑执事第4期寄宿学校篇,黒執事寄宿学校編,漫画改编动画,奇幻/悬疑/主仆,4/13,周六深夜,6,http://i0.hdslb.com/bfs/new_dyn/b7f157d2733e931acbdbd6dea5a52656512995925.jpg,CloverWorks,冈田坚二朗
202404,死神少爷与黑女仆第3期,死神坊ちゃんと黒メイド第3期,漫画改编动画,恋爱/魔法/主仆,4/7,周日晚间,0,http://i0.hdslb.com/bfs/new_dyn/6d6b889b1fb88a0579f3579f8c966814512995925.jpg,J.C.STAFF,山川吉树/石原裕也/畑野雄哉
202404,摇曳露营△第3期,ゆるキャン△第3期,漫画改编动画,露营/日常/治愈,4/4,周四深夜,4,http://i0.hdslb.com/bfs/new_dyn/6eac0445e166fe52fa184a9ef642b1bf512995925.jpg,8bit,登坂晋
202404,调酒师神之杯,バーテンダー神のグラス,漫画改编动画,酒吧/日常/治愈,4/3,周三深夜,3,https://i0.hdslb.com/bfs/new_dyn/e7e94fdc0dbbd967f4be1cc8624cd06e512995925.jpg,Liber,仓谷凉一
202404,时光巡逻队,T・Pぼん,漫画改编动画,科幻/时空穿梭,5/2,网络配信,4,http://i0.hdslb.com/bfs/new_dyn/0fb8425f6b2952534863a1bb27cece06512995925.jpg,BONES,安藤真裕
202404,杀手寓言,ザ・ファブル/TheFable,漫画改编动画,杀手/日常/喜剧,4/6,周六深夜,6,http://i0.hdslb.com/bfs/new_dyn/7bd1c5fb64f2ff89e60fa72b66ba8d80512995925.jpg,手冢Production,高桥良辅
202404,怪兽8号,怪獣8号,漫画改编动画,异能/变身/动作,4/13,周六深夜,6,https://i0.hdslb.com/bfs/new_dyn/95733b5ac8df68c344365938896e55f6512995925.jpg,ProductionI.G,宫繁之
202404,战队大失格,戦隊大失格,漫画改编动画,反英雄/动作/异能,4/7,周日下午,0,https://i0.hdslb.com/bfs/new_dyn/6829672ef1c56795ee02edd467edaaaa512995925.jpg,YostarPictures,佐藤敬一
202404,防风铃/防风少年,ウィンドブレイカー/WINDBREAKER,漫画改编动画,群像/不良/格斗,4/4,周四深夜,4,https://i0.hdslb.com/bfs/new_dyn/7b63ec0de98277b4f8cb328cbc730e65512995925.jpg,CloverWorks,赤井俊文/浅贺和行/川上大志
202404,失忆投捕,忘却バッテリー,漫画改编动画,运动/棒球/励志,4/9,周二深夜,2,https://i0.hdslb.com/bfs/new_dyn/b9873227552cf68d48183ffe25184584512995925.jpg,MAPPA,中园真登/饭田刚士/立中顺平/德丸昌大
202404,我回来了欢迎回家,ただいま、おかえり,漫画改编动画,BL/ABO/带娃,4/8,周一深夜,1,https://i0.hdslb.com/bfs/new_dyn/7b40b6ff2e1324ce00df4e4a07361cdc512995925.jpg,StudioDEEN,石平信司/松村树里亚/大泽美奈
202404,吸血鬼男子宿舍,ヴァンパイア男子寮,漫画改编动画,恋爱/女扮男装,4/7,周日深夜,0,http://i0.hdslb.com/bfs/new_dyn/5a2a540ed5b4d524ee3c01a1e85a5344512995925.jpg,Studio Blanc.,长山延好/石栗和弥
202404,怪异与少女与神隐,怪異と乙女と神隠し,漫画改编动画,异能/灵异/怪谈,4/10,周三晚间,3,http://i0.hdslb.com/bfs/new_dyn/93432d73f98b50ce89175030985c6d16512995925.jpg,ZERO-G,望月智充
202404,爷爷奶奶返老还童啦,じいさんばあさん若返る,漫画改编动画,亲情/喜剧/狗粮,4/7,周日深夜,0,http://i0.hdslb.com/bfs/new_dyn/6ac3f3154951673ee696c62e8314c790512995925.jpg,月虹,西田正义
202404,花野井同学和相思病,花野井くんと恋の病,漫画改编动画,校园/恋爱/治愈,4/4,周四深夜,4,https://i0.hdslb.com/bfs/new_dyn/ef6a601ff0cbae26a27f50a280593617512995925.jpg,East Fish Studio,牧野友映
202404,恋语轻唱,ささやくように恋を唄う,漫画改编动画,音乐/恋爱/贴贴,4/13,周六深夜,6,http://i0.hdslb.com/bfs/new_dyn/ac2cbd2d3db4d75b3a2b83879f18c2e8512995925.jpg,,真野玲
202404,单间光照尚好附带天使,ワンルーム、日当たり普通、天使つき。,漫画改编动画,都市奇幻/日常/恋爱喜剧,3/30,周六晚间,6,https://i0.hdslb.com/bfs/new_dyn/14d451b0199172407356c87ec2053bf5512995925.jpg,OkurutoNoboru,大西健太
202404,夜樱家的大作战,夜桜さんちの大作戦,漫画改编动画,间谍/异能/动作/恋爱喜剧/家族,4/7,周日下午,0,http://i0.hdslb.com/bfs/new_dyn/58784b248314cfc2bb523d5b2de99ad7512995925.jpg,SILVER LINK.,湊未来/高桥瑞纪
202404,与妖为邻,となりの妖怪さん,漫画改编动画,奇妙日常/治愈,4/6,周六深夜,6,http://i0.hdslb.com/bfs/new_dyn/0b66cb408247fa39df18a5cd00af5ce3512995925.jpg,LIDENFILMS,山内爱弥
202404,喂！蜻蜓,オーイ！とんぼ,漫画改编动画,运动/高尔夫/成长,4/6,周六上午,6,https://i0.hdslb.com/bfs/new_dyn/67be0aa7beb6af0f3f38182662086c4e512995925.jpg,OLM,Oh Jin koo
202404,格斗实况/直播风暴,喧嘩独学/VIRALHIT,漫画改编动画,直播/格斗/励志,4/10,周三晚间,3,http://i0.hdslb.com/bfs/new_dyn/a75f9ab7d44e198edc36dcccf153eab3512995925.jpg,OkurutoNoboru,菱田正和/铃木勘太/宫崎里美
202404,上尾与提姆,あげおとティム,漫画改编动画,拟人/奇妙日常,,周一至周五,未知,https://i0.hdslb.com/bfs/new_dyn/fa3d9aced63b2142048d957f6e7a1547512995925.jpg,SMDE,峰泽琢也
202404,虹四格第2期,にじよんあにめーしょん2,漫画改编动画,外传/Q版/日常,4/5,周五晚间,5,https://i0.hdslb.com/bfs/new_dyn/bfdae0a4146c6bb61f431892a85a12eb512995925.jpg,SUNRISE,堀内勇冶/辰口智树
